last_name,amount,prob
CHRZANOWSKI,10754,0.0006112886725776095
BEDNARSKI,10665,0.00060622965343502
LISOWSKI,10655,0.0006056612243178751
BEDNARZ,10592,0.0006020801208798624
PLUTA,10548,0.0005995790327644249
KASPRZYK,10533,0.0005987263890887075
JANISZEWSKI,10531,0.0005986127032652786
ŚWIDERSKI,10522,0.0005981011170598481
KWIECIEŃ,10438,0.0005933263124758312
BIAŁEK,10421,0.0005923599829766848
MARCZAK,10409,0.000591677868036111
MUSZYŃSKI,10397,0.0005909957530955371
KUCZYŃSKI,10391,0.0005906546956252501
JĘDRZEJEWSKI,10330,0.0005871872780106663
MORAWSKI,10322,0.0005867325347169505
WITEK,10311,0.0005861072626880911
PALUCH,10302,0.0005855956764826606
GRZYBOWSKI,10291,0.0005849704044538013
CZECH,10288,0.0005847998757186578
TUREK,10263,0.0005833788029257956
CZAJA,10242,0.0005821851017797913
ŻUKOWSKI,10153,0.0005771260826372018
DĘBSKI,10130,0.0005758186956677687
CHMIEL,10126,0.0005755913240209107
KACZOR,10110,0.0005746818374334789
MARZEC,10110,0.0005746818374334789
CIEŚLIK,10101,0.0005741702512280485
MAŁEK,10028,0.0005700207186728908
OSIŃSKI,10010,0.00056899754626203
KUBICKI,10005,0.0005687133317034575
PIEKARSKI,9985,0.0005675764734691678
SZCZĘSNY,9891,0.0005622332397680059
KRZEMIŃSKI,9841,0.0005593910941822815
ŚLIWA,9822,0.0005583110788597062
JANOWSKI,9772,0.0005554689332739818
STEFANIAK,9764,0.0005550141899802658
PRZYBYSZ,9743,0.0005538204888342616
BIERNACKI,9725,0.0005527973164234008
MICHAŁOWSKI,9705,0.000551660458189111
RAK,9700,0.0005513762436305386
GOŁĘBIEWSKI,9695,0.0005510920290719662
LECH,9633,0.0005475677685456679
KULESZA,9628,0.0005472835539870954
SZYDŁOWSKI,9597,0.0005455214237239462
SMOLIŃSKI,9586,0.0005448961516950868
KACPRZAK,9567,0.0005438161363725116
LEWICKI,9549,0.0005427929639616508
KUJAWA,9522,0.0005412582053453596
STANISZEWSKI,9508,0.0005404624045813568
CZYŻ,9505,0.0005402918758462133
MURAWSKI,9483,0.0005390413317884946
NIEMIEC,9473,0.0005384729026713497
AUGUSTYNIAK,9462,0.0005378476306424903
RUDNICKI,9458,0.0005376202589956324
GÓRA,9424,0.0005356875999973398
POPŁAWSKI,9413,0.0005350623279684804
BANACH,9403,0.0005344938988513355
PIETRZYK,9389,0.0005336980980873326
DROZD,9383,0.0005333570406170457
ŻUREK,9351,0.0005315380674421821
PIĄTKOWSKI,9348,0.0005313675387070387
SERAFIN,9315,0.0005294917226204605
GÓRNY,9246,0.0005255695617121608
MATYSIAK,9221,0.0005241484889192986
STACHOWIAK,9214,0.0005237505885372971
SOWIŃSKI,9210,0.0005235232168904392
GOŁĘBIOWSKI,9207,0.0005233526881552957
PODGÓRSKI,9179,0.0005217610866272901
KARCZEWSKI,9175,0.0005215337149804321
BANAŚ,9146,0.000519885270540712
ZAWADA,9100,0.0005172704966018455
KLIMCZAK,9074,0.0005157925808972688
ROSIŃSKI,9053,0.0005145988797512645
ŻURAWSKI,9039,0.0005138030789872617
BIENIEK,8946,0.0005085166881978143
GÓRKA,8940,0.0005081756307275273
CYBULSKI,8922,0.0005071524583166665
GRUSZKA,8880,0.000504765056024658
GODLEWSKI,8878,0.000504651370201229
KUŚ,8816,0.0005011271096749308
PRZYBYŁA,8755,0.000497659692060347
SKRZYPCZAK,8742,0.0004969207342080586
GROCHOWSKI,8737,0.0004966365196494862
CICHOŃ,8687,0.0004937943740637617
KOMOROWSKI,8663,0.000492430144182614
CICHOCKI,8634,0.0004907816997428939
KRAWIEC,8631,0.0004906111710077503
PTAK,8631,0.0004906111710077503
KULIK,8623,0.0004901564277140345
PANEK,8620,0.000489985898978891
SIWEK,8588,0.00048816692580402735
