imię,płeć,liczba,prob
MARTYNA,KOBIETA,141765,0.006359956156611626
KLAUDIA,KOBIETA,138643,0.006219894906507994
GABRIELA,KOBIETA,133051,0.005969022865963626
MARZENA,KOBIETA,129686,0.005818059987488699
LENA,KOBIETA,126549,0.005677325797362147
DOMINIKA,KOBIETA,122527,0.005496888145883348
MARIANNA,KOBIETA,121290,0.005441393025326592
AMELIA,KOBIETA,121159,0.005435516015793095
KINGA,KOBIETA,120526,0.005407117946825894
STANISŁAWA,KOBIETA,115374,0.005175985480287164
EDYTA,KOBIETA,114204,0.005123496158499448
KAMILA,KOBIETA,111005,0.004979980482944828
WIESŁAWA,KOBIETA,106801,0.004791377825854607
ALINA,KOBIETA,102163,0.004583304770767916
WANDA,KOBIETA,95630,0.004290216959452402
DARIA,KOBIETA,85550,0.003838001264050539
LIDIA,KOBIETA,83109,0.003728491490987449
MARIOLA,KOBIETA,82314,0.0036928256697727185
LUCYNA,KOBIETA,80942,0.003631274089009687
TETIANA,KOBIETA,78904,0.0035398439712290325
NIKOLA,KOBIETA,76728,0.003442222805237519
MILENA,KOBIETA,75382,0.003381837653847548
NATALIIA,KOBIETA,74219,0.003329662370737194
OLENA,KOBIETA,73080,0.003278563791663511
WIOLETTA,KOBIETA,72654,0.0032594522950125993
MIROSŁAWA,KOBIETA,70835,0.0031778471015665687
IRYNA,KOBIETA,69432,0.0031149047780895034
LAURA,KOBIETA,68705,0.003082289618312008
ANTONINA,KOBIETA,66429,0.0029801821855010317
ANGELIKA,KOBIETA,64922,0.0029125741445317254
OLGA,KOBIETA,60922,0.0027331234717532077
KAZIMIERA,KOBIETA,57167,0.002564664152682375
OLHA,KOBIETA,56090,0.002516347059036759
BOGUMIŁA,KOBIETA,55562,0.0024926595702299947
OKSANA,KOBIETA,54962,0.002465741969313217
ILONA,KOBIETA,54790,0.002458025590383741
MICHALINA,KOBIETA,54383,0.0024397664844285267
SANDRA,KOBIETA,54149,0.0024292686200709833
GENOWEFA,KOBIETA,52195,0.0023416069664186777
MARIIA,KOBIETA,52027,0.0023340700381619802
SVITLANA,KOBIETA,51653,0.002317291400257189
NADIA,KOBIETA,51425,0.002307062711908813
YULIIA,KOBIETA,49583,0.002224425677094306
ANASTASIIA,KOBIETA,49489,0.002220208586284011
KORNELIA,KOBIETA,49171,0.0022059422577981186
MARLENA,KOBIETA,48490,0.0021753907807575763
VIKTORIIA,KOBIETA,48155,0.0021603617869123755
HENRYKA,KOBIETA,47936,0.0021505368625777516
ŁUCJA,KOBIETA,47856,0.002146947849122181
SABINA,KOBIETA,47632,0.0021368986114465843
BOGUSŁAWA,KOBIETA,47555,0.002133444185995598
NINA,KOBIETA,45929,0.0020604974875111305
JÓZEFA,KOBIETA,45912,0.0020597348221518216
ANITA,KOBIETA,45828,0.002055966358023473
STEFANIA,KOBIETA,45054,0.00202124265284083
IGA,KOBIETA,44739,0.0020071109123595216
LILIANA,KOBIETA,44645,0.002002893821549226
REGINA,KOBIETA,43728,0.001961754754814751
POLA,KOBIETA,43463,0.0019498661477431744
MARCELINA,KOBIETA,43323,0.0019435853741959265
KATERYNA,KOBIETA,42608,0.0019115085664367663
JAGODA,KOBIETA,41556,0.0018643130394960163
CZESŁAWA,KOBIETA,39629,0.0017778626778849657
ANIELA,KOBIETA,39292,0.0017627439587033756
WŁADYSŁAWA,KOBIETA,38678,0.0017351982804318731
KARINA,KOBIETA,36638,0.0016436784373148293
LIUDMYLA,KOBIETA,36504,0.001637666839776749
WIOLETA,KOBIETA,34421,0.001544217901927336
ADRIANNA,KOBIETA,33689,0.0015113784288088674
DIANA,KOBIETA,32586,0.0014618949057901914
ROKSANA,KOBIETA,31975,0.0014344838155232727
DAGMARA,KOBIETA,31723,0.0014231784231382263
SARA,KOBIETA,30962,0.0013890379326421134
MALWINA,KOBIETA,30097,0.001350231724653759
HALYNA,KOBIETA,27954,0.0012540910267126682
ELIZA,KOBIETA,27710,0.0012431445356731786
CECYLIA,KOBIETA,27481,0.0012328709846566085
ŻANETA,KOBIETA,27136,0.0012173933641294614
MARYNA,KOBIETA,26771,0.0012010184902384218
ZDZISŁAWA,KOBIETA,26184,0.0011746841040081743
SOFIIA,KOBIETA,25873,0.0011607318141996447
KLARA,KOBIETA,25510,0.0011444466656449941
RÓŻA,KOBIETA,25272,0.0011337693506146725
KAJA,KOBIETA,24940,0.0011188749447740554
VALENTYNA,KOBIETA,24848,0.0011147475793001497
LEOKADIA,KOBIETA,24757,0.0011106650764944382
BLANKA,KOBIETA,24233,0.0010871570383604525
NADIIA,KOBIETA,23451,0.0010520744318322523
ANASTAZJA,KOBIETA,23401,0.0010498312984225208
BERNADETA,KOBIETA,22943,0.0010292841963893808
BRONISŁAWA,KOBIETA,22236,0.0009975662899757778
EUGENIA,KOBIETA,22041,0.000988818069677825
JULITA,KOBIETA,21800,0.0009780061666429193
OLEKSANDRA,KOBIETA,21633,0.0009705141010544163
ALDONA,KOBIETA,21069,0.0009452115561926453
ROZALIA,KOBIETA,20544,0.0009216586553904649
VIOLETTA,KOBIETA,20517,0.0009204473633492099
DANIELA,KOBIETA,20067,0.0009002591626616267
LILIANNA,KOBIETA,19439,0.0008720854070353995
INNA,KOBIETA,19216,0.0008620810320279972
MAGDA,KOBIETA,18330,0.0008223327080075556
CELINA,KOBIETA,17712,0.0007946075790632747
YANA,KOBIETA,17493,0.0007847826547286509
MATYLDA,KOBIETA,17036,0.0007642804153637052
LIUBOV,KOBIETA,17033,0.0007641458273591214
ADRIANA,KOBIETA,16170,0.0007254293447071562
HONORATA,KOBIETA,16126,0.0007234553873065925
VERONIKA,KOBIETA,15775,0.0007077085907702777
NELA,KOBIETA,15560,0.0006980631171084324
PAULA,KOBIETA,15441,0.0006927244595932715
LARYSA,KOBIETA,15119,0.0006782786804346008
BRYGIDA,KOBIETA,14544,0.000652482646222689
AURELIA,KOBIETA,14510,0.0006509573155040715
VALERIIA,KOBIETA,14463,0.000648848770098924
IZABELLA,KOBIETA,14438,0.0006477272033940583
KALINA,KOBIETA,13984,0.0006273595520336965
ALLA,KOBIETA,13698,0.0006145288289300325
MARIKA,KOBIETA,13342,0.0005985577190527445
GERTRUDA,KOBIETA,13188,0.0005916488681507716
MIECZYSŁAWA,KOBIETA,13188,0.0005916488681507716
SONIA,KOBIETA,12832,0.0005756777582734835
BOŻENNA,KOBIETA,12650,0.000567512752662061
ELWIRA,KOBIETA,12596,0.000565090168579551
LILIIA,KOBIETA,12388,0.0005557587335950681
MARZANNA,KOBIETA,12383,0.000555534420254095
OLIVIA,KOBIETA,12310,0.000552259445475887
TAMARA,KOBIETA,12274,0.0005506443894208804
ANDŻELIKA,KOBIETA,11819,0.000530231875392324
POLINA,KOBIETA,11539,0.0005176703282978279
ALONA,KOBIETA,11520,0.0005168179376021299
ARLETA,KOBIETA,11289,0.0005064546612491705
TATIANA,KOBIETA,11103,0.0004981102049649694
YELYZAVETA,KOBIETA,11080,0.000497078363596493
LUIZA,KOBIETA,10849,0.0004867150872435336
KHRYSTYNA,KOBIETA,10303,0.000462220070409266
VICTORIA,KOBIETA,10145,0.00045513176883451456
ADELA,KOBIETA,9781,0.0004388017576116695
JUDYTA,KOBIETA,9756,0.00043768019090680374
