first_name,count,prob
SNIZHANA,2997,0.0001344534165793041
ZYTA,2966,0.00013306267386527059
OKTAWIA,2952,0.00013243459651054578
KONSTANCJA,2914,0.00013072981511914986
DARYA,2893,0.00012978769908706265
PAMELA,2796,0.0001254360202721836
LEONARDA,2758,0.00012373123888078768
ZORIANA,2749,0.00012332747486703603
FELIKSA,2716,0.00012184700681661326
EMILIIA,2707,0.00012144324280286159
WANESSA,2702,0.00012121892946188844
NOEMI,2692,0.00012077030277994215
CLAUDIA,2673,0.0001199179120842442
TETYANA,2642,0.00011852716937021069
NIKOL,2604,0.00011682238797881477
SOPHIE,2559,0.00011480356791005646
EVELINA,2545,0.00011417549055533164
EMILY,2542,0.00011404090255074775
BOGNA,2510,0.00011260529716851962
MARYIA,2497,0.00011202208248198944
IULIIA,2492,0.00011179776914101629
MIRELLA,2474,0.00011099024111351296
ANZHELIKA,2440,0.00010946491039489556
STELLA,2391,0.00010726663965335872
INEZ,2374,0.00010650397429405003
LEA,2364,0.00010605534761210373
GANNA,2344,0.00010515809424821115
MICHELLE,2288,0.00010264578482931191
ZINAIDA,2284,0.00010246633415653338
TOLA,2272,0.00010192798213819784
KRZYSZTOFA,2270,0.00010183825680180857
ZOIA,2237,0.00010035778875138581
NELIA,2187,9.811465534165435e-05
SARAH,2171,9.739685265054027e-05
OLA,2169,9.730712731415101e-05
JAŚMINA,2159,9.685850063220472e-05
VALENTINA,2147,9.632014861386916e-05
BOLESŁAWA,2144,9.618556060928529e-05
SVETLANA,2126,9.537803258178195e-05
NADZIEJA,2122,9.519858190900344e-05
ANGELA,2118,9.501913123622492e-05
EDWARDA,2098,9.412187787233233e-05
MILA,2088,9.367325119038603e-05
VIKTORYIA,2082,9.340407518121827e-05
ELFRYDA,2064,9.259654715371493e-05
LIUDMILA,2056,9.22376458081579e-05
GALINA,2044,9.169929378982235e-05
MIRIAM,1990,8.927670970731236e-05
ANA,1971,8.842431901161441e-05
SALOMEA,1965,8.815514300244663e-05
SVIATLANA,1957,8.779624165688959e-05
TAISIIA,1952,8.757192831591645e-05
INES,1947,8.73476149749433e-05
LARA,1936,8.685412562480238e-05
NATALIE,1888,8.470071755146017e-05
EDELTRAUDA,1872,8.39829148603461e-05
ANTONIA,1831,8.21435454643663e-05
VITALINA,1791,8.034903873658112e-05
LINA,1782,7.994527472282947e-05
MARIETTA,1774,7.958637337727243e-05
IZA,1773,7.95415107090778e-05
ROMA,1773,7.95415107090778e-05
SOPHIA,1758,7.886857068615835e-05
VASYLYNA,1756,7.87788453497691e-05
ALIAKSANDRA,1742,7.815076799504428e-05
ARLETTA,1717,7.702920129017856e-05
MAIIA,1712,7.680488794920541e-05
ADELINA,1705,7.6490849271843e-05
KLEMENTYNA,1705,7.6490849271843e-05
ERIKA,1704,7.644598660364838e-05
MANUELA,1695,7.604222258989671e-05
ELINA,1674,7.51001065578095e-05
KLAUDYNA,1642,7.366450117558136e-05
VERONICA,1640,7.35747758391921e-05
AMINA,1615,7.245320913432637e-05
MARGARITA,1569,7.038952639737341e-05
RUTA,1568,7.034466372917879e-05
NADIYA,1563,7.012035038820565e-05
GRETA,1552,6.962686103806471e-05
YANINA,1544,6.926795969250769e-05
SOFIYA,1542,6.917823435611842e-05
LIVIA,1534,6.88193330105614e-05
WIERA,1519,6.814639298764195e-05
LYUDMYLA,1514,6.792207964666881e-05
HELGA,1512,6.783235431027954e-05
JANA,1505,6.751831563291714e-05
ANDREA,1490,6.68453756099977e-05
NIKA,1489,6.680051294180307e-05
FLORENTYNA,1477,6.626216092346751e-05
MARTINA,1466,6.57686715733266e-05
ALA,1443,6.473683020485012e-05
GERDA,1419,6.366012616817902e-05
GLORIA,1403,6.294232347706495e-05
KSENIYA,1401,6.285259814067569e-05
