last_name,amount,prob
KOTLEWSKA,634,3.688964010315833e-05
KUNKA,634,3.688964010315833e-05
LINKE,634,3.688964010315833e-05
MILCZARCZYK,634,3.688964010315833e-05
MOCHOCKA,634,3.688964010315833e-05
PAŁKOWSKA,634,3.688964010315833e-05
SYPEK,634,3.688964010315833e-05
WLIZŁO,634,3.688964010315833e-05
DAVYDENKO,633,3.683145455094514e-05
FIJAK,633,3.683145455094514e-05
HRYHORIEVA,633,3.683145455094514e-05
KARKUT,633,3.683145455094514e-05
KOWALIŃSKA,633,3.683145455094514e-05
KULBACKA,633,3.683145455094514e-05
MŁODZIŃSKA,633,3.683145455094514e-05
MÓWIŃSKA,633,3.683145455094514e-05
POKRZYWA,633,3.683145455094514e-05
SAMOILENKO,633,3.683145455094514e-05
ŚWIERSZCZ,633,3.683145455094514e-05
WALENCIK,633,3.683145455094514e-05
WŁODYKA,633,3.683145455094514e-05
BIAŁK,632,3.677326899873196e-05
BORUŃ,632,3.677326899873196e-05
DZIWIŃSKA,632,3.677326899873196e-05
GACZYŃSKA,632,3.677326899873196e-05
HAJDUKIEWICZ,632,3.677326899873196e-05
KUSKOWSKA,632,3.677326899873196e-05
WILKOS,632,3.677326899873196e-05
WISZ,632,3.677326899873196e-05
AMBROZIK,631,3.671508344651878e-05
BRODNICKA,631,3.671508344651878e-05
MACIAS,631,3.671508344651878e-05
RUDAWSKA,631,3.671508344651878e-05
SOMMER,631,3.671508344651878e-05
ZIELSKA,631,3.671508344651878e-05
ŻOŁĄDŹ,631,3.671508344651878e-05
ARENDARSKA,630,3.6656897894305595e-05
FLESZAR,630,3.6656897894305595e-05
MAZIK,630,3.6656897894305595e-05
SAMIEC,630,3.6656897894305595e-05
SZPYRKA,630,3.6656897894305595e-05
WAWRZKIEWICZ,630,3.6656897894305595e-05
CECOT,629,3.6598712342092415e-05
CIESIÓŁKA,629,3.6598712342092415e-05
DROŹDZIK,629,3.6598712342092415e-05
GIERLACH,629,3.6598712342092415e-05
GOWOREK,629,3.6598712342092415e-05
JERZYK,629,3.6598712342092415e-05
ŁUKOWIAK,629,3.6598712342092415e-05
MATYSZCZAK,629,3.6598712342092415e-05
MŁOT,629,3.6598712342092415e-05
MODRZEWSKA,629,3.6598712342092415e-05
PINDOR,629,3.6598712342092415e-05
POGODZIŃSKA,629,3.6598712342092415e-05
POTYRAŁA,629,3.6598712342092415e-05
RAŹNIAK,629,3.6598712342092415e-05
ROGULA,629,3.6598712342092415e-05
SŁOŃSKA,629,3.6598712342092415e-05
BRYLSKA,628,3.654052678987923e-05
DMOCH,628,3.654052678987923e-05
FEDORCZYK,628,3.654052678987923e-05
FULARA,628,3.654052678987923e-05
GAMOŃ,628,3.654052678987923e-05
KALISIAK,628,3.654052678987923e-05
KASPER,628,3.654052678987923e-05
KURC,628,3.654052678987923e-05
LEDZION,628,3.654052678987923e-05
MASZOTA,628,3.654052678987923e-05
WOSZCZYŃSKA,628,3.654052678987923e-05
ZYGUŁA,628,3.654052678987923e-05
ŻURAWIK,628,3.654052678987923e-05
AUGUSTYNEK,627,3.648234123766605e-05
CZUPRYNA,627,3.648234123766605e-05
FEDORUK,627,3.648234123766605e-05
MOSZYŃSKA,627,3.648234123766605e-05
PENKALA,627,3.648234123766605e-05
PIETRYKOWSKA,627,3.648234123766605e-05
SMAL,627,3.648234123766605e-05
SUDA,627,3.648234123766605e-05
TOMCZYŃSKA,627,3.648234123766605e-05
WIETRZYŃSKA,627,3.648234123766605e-05
CHECHELSKA,626,3.642415568545286e-05
FELIŃSKA,626,3.642415568545286e-05
GĘBAROWSKA,626,3.642415568545286e-05
GIEC,626,3.642415568545286e-05
JASKOWSKA,626,3.642415568545286e-05
KACPEREK,626,3.642415568545286e-05
KUPSKA,626,3.642415568545286e-05
KUŚWIK,626,3.642415568545286e-05
PIANKA,626,3.642415568545286e-05
STEMPNIAK,626,3.642415568545286e-05
SURMIAK,626,3.642415568545286e-05
SUSZCZYŃSKA,626,3.642415568545286e-05
SZEPIETOWSKA,626,3.642415568545286e-05
WIERZCHOŃ,626,3.642415568545286e-05
ZBYLUT,626,3.642415568545286e-05
ŻERO,626,3.642415568545286e-05
ANTONOVA,625,3.636597013323968e-05
BRYZEK,625,3.636597013323968e-05
DOMIŃSKA,625,3.636597013323968e-05
GABARA,625,3.636597013323968e-05
KICKA,625,3.636597013323968e-05
